record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2025,Britam Holdings PLC Annual Report 2025,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/Annual-Reports/2025 Integrated Report and Audited Financial statements..pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2024,Britam Holdings PLC Annual Report 2024,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/FormsAndDownloads/Britam_AnnualReport_2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2023,Britam Holdings PLC Annual Report 2023,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/FormsAndDownloads/Britam-2023-Integrated-Annual-Report-New.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2022,Britam Holdings PLC Annual Report 2022,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/AGM-Information/BRITAM_2022_Integrated_Report_FA_online3.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2021,Britam Holdings PLC Annual Report 2021,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/britam-holdings-plc-2021-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2020,Britam Holdings PLC Annual Report 2020,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/britam-2020-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2019,Britam Holdings PLC Annual Report 2019,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2019-britam-holdings-plc-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2018,Britam Holdings PLC Annual Report 2018,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2018-britam-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2016,Britam Holdings PLC Annual Report 2016,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2016-britam-annual-report-and-financial-statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2015,Britam Holdings PLC Annual Report 2015,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2015-britam-annual-report-and-financial-statements.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2014,Britam Holdings PLC Annual Report 2014,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2014-group-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2013,Britam Holdings PLC Annual Report 2013,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2013-britam-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2012,Britam Holdings PLC Annual Report 2012,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2012-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2011,Britam Holdings PLC Annual Report 2011,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2011-britam-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00015,Britam Holdings PLC,BRIT,Annual / full-year,Annual report,2010,Britam Holdings PLC Annual Report 2010,https://www.britam.com/investor-relations/annual-reports,https://www.britam.com/images/assets/annualreports/2010-britam-annual-report.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
